area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,15 - Sierra Nevada,dist_100,2019,6509391946.240498,5,504604026.8403511,-120.32948824638775,39.620230447332304,-121.26706328955696,38.9116615240656,-119.76042448653031,40.39217680040992,556,108,16,3,18017,18108,13,13,13
10000,15 - Sierra Nevada,dist_100,2020,504604026.8403511,2,201841610.7361412,-119.89293860591255,39.09703702612659,-120.02469863462265,38.9116615240656,-119.76042448653031,39.28239060973033,257,128.5,9,4.5,18383,18474,13,13,13
10000,15 - Sierra Nevada,dist_100,2021,7770902013.341373,5,504604026.8403492,-120.2535293560889,39.46601118570941,-121.26706328955696,38.9116615240656,-119.76042448653031,40.39217680040992,545,92,38,1,18748,18839,13,13,13
10000,15 - Sierra Nevada,dist_100,2022,6559852348.924501,5,504604026.8403473,-120.21397624294616,39.407304585025365,-121.26706328955696,38.70998584263333,-119.69827380167338,40.39217680040992,558,113,8,1,19113,19204,13,13,13
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2010,152844559729.94073,5,504604026.8403549,-107.1345364863153,37.67357175224737,-109.75177532521792,35.147338050641395,-105.19697199089148,40.59898616521619,16,2,6,1,14737,14799,7,13,12
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2011,34817677851.98381,4,403683221.4722862,-106.61905412044781,36.520165889594665,-109.75177532521792,35.09469169721025,-105.15717352718393,40.23552340478247,16,4,5,1,15105,15184,7,13,10
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2012,71704232214.01352,5,504604026.8403473,-106.241534246804,35.9963933087267,-109.75177532521792,34.5311391818692,-104.36772563110131,40.23552340478247,103,9,6,1,15461,15552,12,13,12
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2013,300037554359.27,6,605524832.2084236,-108.48859127294907,38.05340278313309,-113.49208874237183,35.093710466563664,-105.33020023446147,40.59624895542284,111,7.5,7,1,15829,15917,10,13,12.5
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2014,150371999998.4233,8,807366442.944561,-107.79949016988355,38.06414833352936,-111.43552066553531,34.93868761032516,-105.1260304754119,41.00567539997208,189,14.5,10,1,16191,16282,12,13,13
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2015,296909009392.8601,8,807366442.9445534,-107.80585312787049,36.68182373126747,-113.49208874237183,34.93868761032516,-104.77530653055874,40.21740211078002,208,5.5,10,1,16556,16646,7,13,12
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2016,218190781205.76572,12,1211049664.4168358,-107.27568024641774,37.69613584889422,-111.93769689432641,34.93868761032516,-105.1260304754119,41.369577437357236,800,28.5,15,1,16922,17013,9,13,13
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2017,310735159728.2855,15,1513812080.5210495,-107.61369706924015,37.69912972250078,-113.47274366840296,34.62576189291154,-105.15717352718393,40.71313803748434,495,14,25,1,17287,17378,7,13,12
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2018,311643446976.5979,12,1211049664.416851,-107.8030700034957,37.314996189403075,-111.87566316921894,34.301054137610635,-104.91296068564183,40.59898616521619,177,9,17,1,17652,17740,7,13,12.5
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2019,338740683217.92444,12,1211049664.4168358,-107.7092567937212,37.216341412794236,-112.55501772439878,34.56190719516926,-104.91296068564183,40.624073355301036,1050,19,15,1,18017,18108,6,13,11
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2020,409990771807.78174,23,2321178523.4656105,-108.63402679715279,37.81337368531814,-114.01848452521214,34.93868761032516,-105.22393046105847,41.114915329896874,2044,17,26,1,18383,18474,6,13,12
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2021,377191510063.15906,18,1816574496.625248,-107.43952020521654,37.18318850925209,-113.59956966207358,34.5311391818692,-104.36772563110131,41.11008555930328,869,21.5,21,1,18748,18839,5,13,12.5
10000,16 - Southern Rockies/Colorado Plateau,dist_100,2022,431285061740.4446,18,1816574496.6252441,-108.36216211991393,37.28999495723824,-113.09034628304634,33.53534096134289,-105.0004455767353,40.71313803748434,1587,16.5,55,1,19113,19204,7,13,12
10000,17 - Badlands And Prairies,dist_100,2010,113182683220.28973,3,302762416.1042099,-105.56404067216721,45.499660300880734,-109.87890700410827,42.93258803004983,-103.29051143070302,46.837482231970114,3,1,3,1,14745,14804,5,13,7
10000,17 - Badlands And Prairies,dist_100,2011,131752111408.01465,8,807366442.9445496,-105.79879670321417,45.10011672632971,-109.87890700410827,42.55133144036655,-101.2282689222839,47.338302096487865,18,2,11,1,15097,15156,6,13,7
10000,17 - Badlands And Prairies,dist_100,2012,37946222818.39398,5,504604026.84033585,-108.5583520226834,46.57116626326966,-110.34531662871343,46.00780978446199,-103.29095160589911,47.18214171922029,16,3,8,1,15476,15552,9,13,10
10000,17 - Badlands And Prairies,dist_100,2013,171161685904.24554,16,1614732885.8890953,-107.0638257260404,45.99091396346634,-109.95803374763676,43.73110468577479,-99.28160000285226,48.02500244590403,77,2,23,1,15829,15917,5,13,8
10000,17 - Badlands And Prairies,dist_100,2014,136646770468.36598,11,1110128859.0487518,-107.10346038006615,46.06252911845875,-110.19027898154991,43.85947956084496,-102.24058415062929,47.80439308393456,19,1,12,1,16206,16258,5,11,9
10000,17 - Badlands And Prairies,dist_100,2015,218544004024.55414,30,3027624161.0420723,-107.91770089212757,46.13778251897526,-110.34531662871343,43.152374957773105,-100.27280079928599,47.694314326983175,234,5,64,1,16557,16641,5,13,9
10000,17 - Badlands And Prairies,dist_100,2016,207795938252.8546,25,2523020134.2016945,-106.58220229028693,45.86007583970869,-110.34531662871343,42.86745085569142,-100.38343194861667,47.688781366382806,281,5,42,1,16922,17013,6,13,10
10000,17 - Badlands And Prairies,dist_100,2017,312854496641.015,40,4036832214.722744,-106.53824763702961,45.68565229939754,-110.17200177406005,42.737186291934776,-99.93161359366539,48.02500244590403,299,5,76,1,17287,17378,5,13,9
10000,17 - Badlands And Prairies,dist_100,2018,266027242950.2307,44,4440515436.195019,-106.72371727577458,45.67854905426431,-110.34531662871343,42.61091829593444,-100.15724725096406,48.04711642006166,375,5,82,1,17652,17743,5,13,9
10000,17 - Badlands And Prairies,dist_100,2019,238728165098.1679,51,5146961073.771519,-106.81375283087895,46.19309136530254,-110.44320388092059,42.737186291934776,-99.93161359366539,47.80416285967142,550,9,138,2,18017,18108,5,13,8
10000,17 - Badlands And Prairies,dist_100,2020,337479173150.82385,52,5247881879.139599,-106.66769067082312,45.83736042683396,-110.34531662871343,42.723735483772415,-99.54990192318732,48.02500244590403,513,6.5,118,1,18383,18474,5,13,8
10000,17 - Badlands And Prairies,dist_100,2021,287826136909.7333,61,6156169127.452209,-106.54413620807418,45.77484564043007,-110.34531662871343,42.55133144036655,-99.74036761044478,47.80439308393456,625,6,189,1,18748,18839,5,13,8
10000,17 - Badlands And Prairies,dist_100,2022,312501273822.2264,79,7972743624.0774765,-106.61738015848603,45.93162952436643,-110.34531662871343,42.55133144036655,-100.27027088175733,48.02500244590403,1008,6,213,1,19113,19204,5,13,8
10000,18 - Shortgrass Prairie,dist_100,2010,60653404026.20986,11,1110128859.0487633,-103.06301829812779,38.417038173840936,-104.73495778422667,36.47755208447615,-102.2033330004158,42.63896442733774,132,3,11,1,14730,14821,5,13,13
10000,18 - Shortgrass Prairie,dist_100,2011,259871073822.77853,21,2119336912.7294579,-103.34613740979161,36.71350243730561,-105.27962868374338,32.77230910017755,-100.39904117410045,40.73635833946063,240,4,27,1,15095,15186,5,13,12
10000,18 - Shortgrass Prairie,dist_100,2012,130086918119.44157,17,1715653691.257183,-103.41723219214438,37.27742451845164,-104.73845417743517,33.91253227498064,-101.85230345242768,40.70881520728055,284,11,34,1,15463,15551,8,13,12
10000,18 - Shortgrass Prairie,dist_100,2013,213094280534.6783,28,2825782550.30595,-103.65030037265316,38.26002579035565,-105.26228580235237,34.35946442578878,-101.28793285472348,42.70067695226183,1042,8,44,1,15826,15917,6,13,13
10000,18 - Shortgrass Prairie,dist_100,2014,266733688587.80707,36,3633148993.2505035,-103.76499551370179,37.62134668034376,-105.26818227593276,31.889947388194333,-100.75268705515022,41.005822912678575,1660,9.5,62,1,16191,16282,5,13,12
10000,18 - Shortgrass Prairie,dist_100,2015,211227245635.3685,26,2623940939.569805,-103.53932047490645,38.1492331874665,-105.10085842492953,33.8532084104197,-100.59671993206022,41.733341284369835,916,9.5,36,1,16556,16647,5,13,11.5
10000,18 - Shortgrass Prairie,dist_100,2016,165308279192.89746,38,3834990603.986641,-103.70904475283949,37.70490474511355,-105.27962868374338,33.54807004653837,-102.09656256477578,41.171529793893,1652,23,57,1,16922,17013,5,13,12
10000,18 - Shortgrass Prairie,dist_100,2017,237062971809.59445,39,3935911409.354698,-103.32179634709469,37.623230376209655,-105.26228580235237,33.11558381706109,-101.39035610014899,41.18592498869089,1927,15,85,1,17287,17378,5,13,11
10000,18 - Shortgrass Prairie,dist_100,2018,171262606709.61346,40,4036832214.722782,-103.72620779953903,38.21660248375358,-105.22884439252215,35.61974973260581,-101.81549242879962,42.63896442733774,2325,12,67,1,17652,17743,5,13,10
